Plan ID,Production Date,Physical Area,Material / SKU Code,Material Description,Machine,Shift,Original Output (CS),Current Output (CS),Source,Status
PLN_SYNC_47,5/19/2026,PKG,61037839,PC_22,P1PR0004,2,37800,37800,SYNC,ACTIVE
PLN_SYNC_48,5/19/2026,SE,32138,CC_21_M TIM +CAP,Cap 2,1,26000,26000,SYNC,ACTIVE
PLN_SYNC_49,5/19/2026,SE,32137,CC_21_M DO +CAP,Cap 2,1,0,0,SYNC,ACTIVE
PLN_SYNC_50,5/19/2026,SE,32136,CC_21_M LA +CAP,Cap 2,1,0,0,SYNC,ACTIVE
PLN_SYNC_51,5/19/2026,SE,32580,CAP - SF_24RPP_S_Duong,Cap 3,1,0,0,SYNC,ACTIVE
PLN_SYNC_52,5/19/2026,SE,32136,CC_21_M LA +CAP,Cap 3,1,26000,26000,SYNC,ACTIVE
PLN_SYNC_53,5/19/2026,SE,31377,CCDC_S Trang,Cap 3,1,0,0,SYNC,ACTIVE
PLN_SYNC_54,5/19/2026,SE,32137,CC_21_M DO +CAP,Cap 4,1,0,0,SYNC,ACTIVE
PLN_SYNC_55,5/19/2026,SE,32136,CC_21_M LA +CAP,Cap 4,1,0,0,SYNC,ACTIVE
PLN_SYNC_56,5/19/2026,SE,32135,CC_21_MDUONG +CAP,Cap 4,1,26000,26000,SYNC,ACTIVE
PLN_SYNC_57,5/19/2026,SE,32400,TW_23_M_Dương,Promotion 5 Cap,1,5000,5000,SYNC,ACTIVE
PLN_SYNC_58,5/19/2026,SE,32401,TW_23_M_Lá,Promotion 5 Cap,1,5000,5000,SYNC,ACTIVE
PLN_SYNC_59,5/19/2026,SE,32402,TW_23_M_Hồng,Promotion 5 Cap,1,5000,5000,SYNC,ACTIVE
PLN_SYNC_60,5/19/2026,SE,32403,TW_23_M_Cam,Promotion 5 Cap,1,5000,5000,SYNC,ACTIVE
PLN_SYNC_61,5/19/2026,SE,32583,CAP - SF_24RPP_M_Dương,Promotion 5 Cap,1,10000,10000,SYNC,ACTIVE
PLN_SYNC_62,5/19/2026,SE,32580,CAP - SF_24RPP_S_Duong,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_63,5/19/2026,SE,32581,CAP - SF_24RPP_S_Lá,Promotion 5 Cap,1,10000,10000,SYNC,ACTIVE
PLN_SYNC_64,5/19/2026,SE,32582,CAP - SF_24RPP_S_Tím,Promotion 5 Cap,1,10000,10000,SYNC,ACTIVE
PLN_SYNC_65,5/19/2026,SE,32641,ZZ RL 25 FH_S BL +CAP20,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_66,5/19/2026,SE,32652,ZZ RL 25 FH_S GN +CAP20,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_67,5/19/2026,SE,32651,ZZ RL 25 FH_S RD +CAP20,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_68,5/19/2026,SE,32790,ZZRL_25_S_Violet TB+CAP20,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_69,5/19/2026,SE,32383,PC_22_M TIM +CAP,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_70,5/19/2026,SE,32382,PC_22_M HONG +CAP,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_71,5/19/2026,SE,32381,PC_22_M LA +CAP,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_72,5/19/2026,SE,32380,PC_22_M DUONG +CAP,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_73,5/19/2026,SE,32138,CC_21_M TIM +CAP,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_74,5/19/2026,SE,32137,CC_21_M DO +CAP,Promotion 5 Cap,1,21000,21000,SYNC,ACTIVE
PLN_SYNC_75,5/19/2026,SE,32136,CC_21_M LA +CAP,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_76,5/19/2026,SE,32135,CC_21_MDUONG +CAP,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_77,5/19/2026,SE,31377,CCDC_S Trang,Promotion 5 Cap,1,0,0,SYNC,ACTIVE
PLN_SYNC_78,5/19/2026,SE,32138,CC_21_M TIM +CAP,Cap 2,2,20000,20000,SYNC,ACTIVE
PLN_SYNC_79,5/19/2026,SE,32137,CC_21_M DO +CAP,Cap 2,2,0,0,SYNC,ACTIVE
PLN_SYNC_80,5/19/2026,SE,32136,CC_21_M LA +CAP,Cap 2,2,14000,14000,SYNC,ACTIVE
PLN_SYNC_81,5/19/2026,SE,32580,CAP - SF_24RPP_S_Duong,Cap 3,2,34000,34000,SYNC,ACTIVE
PLN_SYNC_82,5/19/2026,SE,32136,CC_21_M LA +CAP,Cap 3,2,0,0,SYNC,ACTIVE
PLN_SYNC_83,5/19/2026,SE,31377,CCDC_S Trang,Cap 3,2,0,0,SYNC,ACTIVE
PLN_SYNC_84,5/19/2026,SE,32137,CC_21_M DO +CAP,Cap 4,2,24000,24000,SYNC,ACTIVE
PLN_SYNC_85,5/19/2026,SE,32136,CC_21_M LA +CAP,Cap 4,2,0,0,SYNC,ACTIVE
PLN_SYNC_86,5/19/2026,SE,32135,CC_21_MDUONG +CAP,Cap 4,2,10000,10000,SYNC,ACTIVE
PLN_SYNC_87,5/19/2026,SE,32400,TW_23_M_Dương,Promotion 5 Cap,2,0,0,SYNC,ACTIVE
PLN_SYNC_88,5/19/2026,SE,32401,TW_23_M_Lá,Promotion 5 Cap,2,0,0,SYNC,ACTIVE
PLN_SYNC_89,5/19/2026,SE,32402,TW_23_M_Hồng,Promotion 5 Cap,2,0,0,SYNC,ACTIVE
PLN_SYNC_90,5/19/2026,SE,32403,TW_23_M_Cam,Promotion 5 Cap,2,0,0,SYNC,ACTIVE
PLN_SYNC_91,5/19/2026,SE,32583,CAP - SF_24RPP_M_Dương,Promotion 5 Cap,2,0,0,SYNC,ACTIVE
