Size Type IM,,Name System,,,Size Type TE,,Name System,,,Status,Area,SKU từ BOM,Check mã C từ BOM - còn chạy,Case When Tableau,,Status,Area,Size Type,,Khu Vực,Material,Size Type,,,,Material / SKU Code,SIZE TYPE,PrimaryConvFactor,Status
C0000000797,HDL_DC 97_Size,DC 97,DC 97,,C0000005149,TE_ZZ15_Size,ZZ_15_M,ZZ15,,C3,IM,C0000008937,Mid-Tier Age 6+ 21 BL YHX Dinosaur TB,WHEN 'C0000000797' THEN 'HDL_DC 97_Size',,C3,IM,#N/A,,,,,,,WHEN '61034596' THEN 'HA_S3_4P_72_Size',61034596,HA_S3_4P_72_Size,72,C3
C0000000798,HDL_DC 97_Size,DC 97,DC 97,,C0000005150,TE_ZZ15_Size,ZZ_15_M,ZZ15,,C3,IM,C0000008938,Mid-Tier Age 6+ 21 GN YHX Dinosaur TB,WHEN 'C0000000798' THEN 'HDL_DC 97_Size',,C3,IM,#N/A,,,,,,,WHEN '61034584' THEN 'HA_S3_4P_72_Size',61034584,HA_S3_4P_72_Size,72,C3
C0000000824,SKE_TF 09_Size,TF 09,TF 09,,C0000005151,TE_ZZ15_Size,ZZ_15_M,ZZ15,,C3,IM,C0000008939,Mid-Tier Age 6+ 21 PK YHX Unicorn TB,WHEN 'C0000000824' THEN 'SKE_TF 09_Size',,C3,IM,#N/A,,,,,,,WHEN '61034598' THEN 'HA_S3_4P_72_Size',61034598,HA_S3_4P_72_Size,72,C3
C0000000902,HDL_TF 09_Size,TF 09,TF 09,,C0000005155,TE_ZZ15_Size,ZZ_15_S,ZZ15,,C3,IM,C0000008940,Mid-Tier Age 6+ 21 PU YHX Unicorn TB,WHEN 'C0000000902' THEN 'HDL_TF 09_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61034568' THEN 'HA_S3_4P_72_Size',61034568,HA_S3_4P_72_Size,72,C5
C0000000903,SKE_ZZ GC 09_Size,ZZ GC 09,ZZ GC 09,,C0000005156,TE_ZZ15_Size,ZZ_15_S,ZZ15,,C3,TE,C0000008943,Mid-Tier Age 6+ 21 PU YHX Unicorn TB,WHEN 'C0000000903' THEN 'SKE_ZZ GC 09_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61034581' THEN 'HA_S3_4P_72_Size',61034581,HA_S3_4P_72_Size,72,C3
C0000000905,HDL_ZZ GC 09_Size,ZZGC_09,ZZ GC 09,,C0000005157,TE_ZZ15_Size,ZZ_15_S,ZZ15,,C3,TE,C0000008944,Mid-Tier Age 6+ 21 PK YHX Unicorn TB,WHEN 'C0000000905' THEN 'HDL_ZZ GC 09_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61063158' THEN 'HA_S3_4P_72_Size',61063158,HA_S3_4P_72_Size,72,C3
C0000000906,HDL_ZZ GC 09_Size,ZZGC_09,ZZ GC 09,,C0000005158,TE_ZZ15_Size,ZZ_15_S,ZZ15,,C3,TE,C0000008945,Mid-Tier Age 6+ 21 GN YHX Dinosaur TB,WHEN 'C0000000906' THEN 'HDL_ZZ GC 09_Size',,#N/A,SKE,#N/A,,,,,,,WHEN '61033772' THEN 'HA_S3_4P_96_Size',61033772,HA_S3_4P_96_Size,96,C3
C0000000907,HDL_ZZ GC 09_Size,ZZGC_09,ZZ GC 09,,C0000005202,TE_EXCL_15_Size,EC_15_M,EXCL_15,,C3,TE,C0000008946,Mid-Tier Age 6+ 21 BL YHX Dinosaur TB,WHEN 'C0000000907' THEN 'HDL_ZZ GC 09_Size',,C3,IM,#N/A,,,,,,,WHEN '61044940' THEN 'HA_S3_4P_96_Size',61044940,HA_S3_4P_96_Size,96,C3
C0000000908,HDL_ZZ GC 09_Size,ZZGC_09,ZZ GC 09,,C0000005203,TE_EXCL_15_Size,EC_15_M,EXCL_15,,#N/A,SKE,C0000009094,Classic Clean 21 WT FH Handle Step 1,WHEN 'C0000000908' THEN 'HDL_ZZ GC 09_Size',,C3,IM,#N/A,,,,,,,WHEN '61055815' THEN 'HA_S3_4P_96_Size',61055815,HA_S3_4P_96_Size,96,C3
C0000000918,SKE_TPA_09_Size,TPA_09,TPA_09,,C0000005204,TE_EXCL_15_Size,EC_15_M,EXCL_15,,#N/A,SKE,C0000009095,Premier Clean 21 PU FH Handle Step 1,WHEN 'C0000000918' THEN 'SKE_TPA_09_Size',,C3,IM,#N/A,,,,,,,WHEN '61047369' THEN 'HA_S3_4P_96_Size',61047369,HA_S3_4P_96_Size,96,C8
C0000000924,HDL_TPA_09_Size,TA_09,TPA_09,,C0000005205,TE_EXCL_15_Size,EC_15_M,EXCL_15,,#N/A,SKE,C0000009096,Premier Clean 21 GN FH Handle Step 1,WHEN 'C0000000924' THEN 'HDL_TPA_09_Size',,C3,IM,#N/A,,,,,,,WHEN '61031717' THEN 'HA_S3_4P_96_Size',61031717,HA_S3_4P_96_Size,96,C3
C0000000942,SKE_GC09_Size,GC09,GC09,,C0000005206,TE_EXCL_15_Size,EC_15_S,EXCL_15,,#N/A,SKE,C0000009097,Premier Clean 21 PK FH Handle Step 1,WHEN 'C0000000942' THEN 'SKE_GC09_Size',,C3,IM,#N/A,,,,,,,WHEN '1051510' THEN 'HA_S3_4P_96_Size',1051510,HA_S3_4P_96_Size,96,C3
C0000000943,HDL_GC09_Size,GC_09,GC09,,C0000005207,TE_EXCL_15_Size,EC_15_S,EXCL_15,,#N/A,SKE,C0000009098,Premier Clean 21 BL FH Handle Step 1,WHEN 'C0000000943' THEN 'HDL_GC09_Size',,C3,IM,#N/A,,,,,,,WHEN '1051511' THEN 'HA_S3_4P_96_Size',1051511,HA_S3_4P_96_Size,96,C3
C0000000944,HDL_GC09_Size,GC_09,GC09,,C0000005208,TE_EXCL_15_Size,EC_15_S,EXCL_15,,C3,IM,C0000009104,Classic Clean 21 WT/PU FH Handle,WHEN 'C0000000944' THEN 'HDL_GC09_Size',,C3,IM,#N/A,,,,,,,WHEN '61004070' THEN 'HA_S3_4P_C_Size',61004070,HA_S3_4P_C_Size,72,C5
