Material,Material Description,Component,Component Description,Quantity,UOM,Alternative BOM,BOM Status,Status,Bundle IM & TE,IM,SKE HDL,Bundle TE
32731,TWISTER BASE 25 FHS CL/GN TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32732,TWISTER BASE 25 FHS CL/PK TB+CAP19,C0000011741,Twister Base 25 FHS CL/PK TB,1000,PC,1,1,C3,,,,
32732,TWISTER BASE 25 FHS CL/PK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32733,TWISTER BASE 25 FHS CL/OR TB+CAP19,C0000011742,Twister Base 25 FHS CL/OR TB,1000,PC,1,1,C3,,,,
32733,TWISTER BASE 25 FHS CL/OR TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32734,Twister Base 25 FHM CL/BL TB+CAP19,C0000011743,Twister Base 25 FHM CL/BL TB,1000,PC,1,1,C3,,,,
32734,Twister Base 25 FHM CL/BL TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32735,Twister Base 25 FHM CL/GN TB+CAP19,C0000011744,Twister Base 25 FHM CL/GN TB,1000,PC,1,1,C3,,,,
32735,Twister Base 25 FHM CL/GN TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32736,Twister Base 25 FHM CL/PK TB+CAP19,C0000011745,Twister Base 25 FHM CL/PK TB,1000,PC,1,1,C3,,,,
32736,Twister Base 25 FHM CL/PK TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32737,Twister Base 25 FHM CL/OR TB+CAP19,C0000011746,Twister Base 25 FHM CL/OR TB,1000,PC,1,1,C3,,,,
32737,Twister Base 25 FHM CL/OR TB+CAP19,P11230099,CAP 19 (SLIP CAP),1000,PC,1,1,C3,,,,
32790,ZigZag RL 25 FHS AG/Violet TB+CAP20,C0000012118,ZigZag RL 25 FHS AG/Violet TB,1000,PC,1,1,C3,,,,
32790,ZigZag RL 25 FHS AG/Violet TB+CAP20,P11230094,CAP 20 SLIP CAP-SAKURA,1000,PC,1,1,C3,,,,
32791,ZigZag RL 25 FHM AG/Violet TB+CAP20,C0000012117,ZigZag RL 25 FHM AG/Violet TB,1000,PC,1,1,C3,,,,
32791,ZigZag RL 25 FHM AG/Violet TB+CAP20,P11230094,CAP 20 SLIP CAP-SAKURA,1000,PC,1,1,C3,,,,
